sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;Profile
0.004;2;;60rounds;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[BoulwareNegotiationParty@3];[1.0];[1.0];[1.0];[party1_utility.xml]
0.001;2;;60rounds;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[ConcederNegotiationParty@4];[1.0];[1.0];[1.0];[party1_utility.xml]
0.001;2;;60rounds;Yes;No;1;0.63250;0.63250;0.36750;0.36750;0.63250;[RandomParty@5];[0.6325000000000001];[0.6325000000000001];[0.6325000000000001];[party1_utility.xml]
