sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.036;51;;60rounds;Yes;No;2;0.67250;0.69869;0.20961;0.25593;1.37119;BoulwareNegotiationParty@2;BoulwareNegotiationParty@3;0.6725;0.69869077026364;0.6725;0.69869077026364;0.6725;0.69869077026364;party1_utility.xml;party2_utility.xml
0.006;10;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@4;BoulwareNegotiationParty@5;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.286;50;;60rounds;Yes;No;2;0.72181;0.86583;0.02068;0.22200;1.58764;MyAgent@6;BoulwareNegotiationParty@7;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.7218053051923241;party1_utility.xml;party2_utility.xml
0.017;30;;60rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@8;ConcederNegotiationParty@9;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.003;6;;60rounds;Yes;No;2;0.74667;0.77847;0.12816;0.15492;1.52513;ConcederNegotiationParty@10;ConcederNegotiationParty@11;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;party1_utility.xml;party2_utility.xml
0.082;15;;60rounds;Yes;No;2;0.69002;0.87833;0.00608;0.25616;1.56835;MyAgent@12;ConcederNegotiationParty@13;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.6900190691355816;party1_utility.xml;party2_utility.xml
0.297;54;;60rounds;Yes;No;2;0.62833;0.80493;0.18542;0.19957;1.43327;BoulwareNegotiationParty@14;MyAgent@15;0.6283333333333333;0.8049334050157393;0.6283333333333333;0.8049334050157393;0.6283333333333333;0.8049334050157393;party1_utility.xml;party2_utility.xml
0.012;4;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;ConcederNegotiationParty@16;MyAgent@17;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.648;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;MyAgent@18;MyAgent@19;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
